Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
kuyakua nta'a	I will get my hands dirty			me ensucio las manos					— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
nta'a	my hands			las manos					Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
nta'vi ti	it sprouted			echó					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
nta'vi	it sprouted			echó					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
ntaki'in ti	it gathered			recogío					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
ntakuisa ti	it carried			cargó					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
ntata'vi ti	it parted the ground			cavó					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
nuu ntsinu ntata'vi ti	when it finished plowing 			cuando terminó a arar					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
ntayo'o	corn stalks			tallos de maíz					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
nti'i so	all			todo					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
nto'o ti	it's basket			su canasta					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
	made			hizó					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
ntsa'nu	it grew			cresció					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
ntsaa	arrived			llegó					Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
ntsaa	came			llegó					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
ntsicha	spilled			derramó					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
ntsini ti	it saw			vio					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
ntsinu	finished	when finished	when it finished plowing 	terminó	cuando terminó	cuando terminó a arar			Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
ntsinu	done	finished	it finished the harvest	termine	terminó	terminó la cosecha			— nikachi tuku ti sara ntsinu skee ti .	he said again, and then the harvest was finished.	dijó de nuevo, y terminó la cosecha.
in ntucha luu	a small goat			una cabra pequeña					Sara niya'a yachi in ntucha luu .	And then it approached a small goat.	Y acercó una cabra pequeña.
ntuku	I look for			busco					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
ntuku	I look for			busco					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
ntukua'i	it yields			produce					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
nuni	kernal			grano					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
nuni	kernal			grano					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
nuni luu	small kernals			granos pequeños					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
nuni luu	small kernals			granos pequeños					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
nuni	kernal			grano					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
tsika nuu	walked towards			caminó hacía					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
nuu	when	when finished	when it finished plowing 	cuando	cuando terminó	cuando terminó a arar			Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
nuu	there			allí					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
nuu	in	in it's field		en	en su maizal				Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
yee nuu	have to			tener que					— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
nuu	?			?					— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
sa'a ti	it makes			hace					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
sa'u	you are doing			haces					— ¿ Nchi sa'u ?	What are you doing?	¿Qué haces?
sa'u	you do	you are doing		haces					— ¿ Nchi sa'u ?	What are you doing?	¿Qué estas haciendo?
saan so	at all			para nada					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
sachuun ti	it worked	it's work		trabajó	su trabajo				Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
sachuun	I work			trabajo					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
sachuun mitu'un ti	it worked alone			trabajó a solo					, sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
sachuun ti	it worked	it worked alone		trabajó	trabajó solo				sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
sachuun	I'm working			trabajo					— Yo'o sachuun , tu'un ku'u .	I'm working here, pulling weeds	Trabajo aquí, saco la hierba.
sachuun	I worked			yo trabajé					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
sachuun	work			trabajaron					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
sara	then			y					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
sara	then			y					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
sara	then			y					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
sara	and then			y					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
sara	and then			y					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
sara	and then			y					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
sara	then			y					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
sara	then			y					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
sara	then			y					, sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
sara	then			entonces					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
sara	then			y					sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
sara	then			y					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
sara	then			y					Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
sara	then			y entonces					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
sara	and then			y					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
sara	and then			y					Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
satutu ti	it gathered			recogó					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
sava	half	half way		metad	medio camino				Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
skee ti	it harvested			cosechó					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
skee ti	it harvested			cosechó					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
skee	I'm harvesting			cosecho					— Yo'o skee .	I'm harvesting here.	Cosecho aquí.
ntsinu skee ti	it finished the harvest	harvest	is harvest a noun or a verb here?	terminó la cosecha	cosecha				— nikachi tuku ti sara ntsinu skee ti .	he said again, and then the harvest was finished.	dijó de nuevo, y terminó la cosecha.
nti'i so	all			todo					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
saan so	at all			para nada					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
tsi'i ta yu soko	I am very hungry			tengo mucho hambre					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
staa	tortilla			tortilla					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
staa	tortilla			tortilla					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
staa	tortilla			tortilla					— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
staa	tortilla			tortilla					Kunkatsi mitu'un staa	I'll eat the tortillas myself	Yo como las tortillas yo mismo
staa	tortilla			tortilla					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
stau	your tortillas			tus tortillas					— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
stee ko	we plant			plantamos					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
	?			?					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
tsi'i ta yu soko	I am very hungry			tengo mucho hambre					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
ta ku'u	rows of plants			filas de cultivos					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
kuni ta yu	I really want	really		quiero veramente	veramente				— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
ta	when			cuando					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
takua	because			porque					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
takua	so that			para que					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
tata	seedling			retoño					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
tata	seed	my seeds	let's insert my seeds	semilla	mis semillas	insertamos mis semillas			Nastee ko , nachi'o tata yu	Let's plant, let's lay my seed.	Vamos a plantar, plantamos mis semillas.
tatu	if			se					— kuyakua nta'a tatu nake'e nuu stau .	I'll get my hands dirty if I touch your tortillas.	Me ensucio las manos se yo toque tus tortillas.
ntakuisa ti	it carried			cargó					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
nto'o ti	it's basket			su canasta					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
kua'an ti	it left			se fué					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
Kua'an ti	it went			se fue					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
ntaki'in ti	it gathered			recogío					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
satutu ti	it gathered			recogó					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
nchiso ti	it carried			cargó					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
kuanu'u ti	it went			se fue					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
ve'e ti	it's home			su case					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
kustee ti	it plowed			arró					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
nikitsaa ti	it began			empezó					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
sachuun ti	it worked	it's work		trabajó	su trabajo				Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
ntata'vi ti	it parted the ground			cavó					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
kachi ti	it says			dije					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
ntsini ti	it saw			vio					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
nikachi ti	it said			dijó					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
sachuun mitu'un ti	it worked alone			trabajó a solo					, sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
nuu ntsinu ntata'vi ti	when it finished plowing 			cuando terminó a arar					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
nikitsaa ti	it began			empezó					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
chi'i ti	it sprouted			brotó					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
niki'in ti ichi	it hit the road			dio el camino					sara niki'in ti ichi kua'an ti .	Then it hit the road and it left.	Y dio el camino y se fue.
kua'an ti	it left			se fue					sara niki'in ti ichi kua'an ti .	Then it hit the road and it left.	Y dio el camino y se fue.
sachuun ti	it worked	it worked alone		trabajó	trabajó solo				sara sachuun mitu'un ti .	Then it went to work alone.	Y trabajó solo.
nta'vi ti	it sprouted			echó					Sara nuu nta'vi itu luu ti sara nta'vi ta ku'u .	Then there small flowers sprouted, and then rows of plants sprouted.	Y allí flores pequeñas echaron, y entonces filas de cultivos echaron.
	made			hizó					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
tsa'ncha ti	it chopped			cortó					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
itu ti	it's field	in it's field		su maizal	en su maizal				Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
ti	it said			dijó					Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
itu ti	it's field			su maizal					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
kua'an tuku ti	it went back	it returned		volvió					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
skee ti	it harvested			cosechó					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
inkaa ti	it was located			estaba					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
skee ti	it harvested			cosechó					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
ntsinu skee ti	it finished the harvest			terminó la cosecha					— nikachi tuku ti sara ntsinu skee ti .	he said again, and then the harvest was finished.	dijó de nuevo, y terminó la cosecha.
Ntatsaa ti	it arrived			llegó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
ve'e ti	it's house			su casa					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
nikitsaa ti	it began			empezó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
sa'a ti	it makes			hace					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
kunkatsi ti	approached			acercó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
Nikivi ti	it entered			entró					Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
ini cocina ti	into it's kitchen	it's kitchen		into su cocina	su cocina				Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
nikachi ti	it said			dijó					Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
kua'an ti	it left			se fue					Sara niketa vilu ka kua'an ti .	Then the cat turned around and left.	Y el gato se dio la vuelta y se fue.
tina	dog			perro					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
titsa'an	pan			olla					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
tsa'ncha ti	it chopped			cortó					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
tsatsi na	they eat			comeron					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
tsi kolo	to the turkey			al pavo					— nikachi ti tsi kolo ka .	it said to the turkey.	dijó al pavo.
tsi'i ta yu soko	I am very hungry			tengo mucho hambre					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
tsian	to it			le					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
tsika	walked	walked towards		caminó	caminó hacía				Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
tu'un	I'm pulling	I pull	I'm pulling weeds	saco	saco la hierba				— Yo'o sachuun , tu'un ku'u .	I'm working here, pulling weeds	Trabajo aquí, saco la hierba.
inka tuku kii	another day	another time		outro día					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
kua'an tuku ti	it went back	it returned		volvió					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
tuku	again			de nuevo					— nikachi tuku ti sara ntsinu skee ti .	he said again, and then the harvest was finished.	dijó de nuevo, y terminó la cosecha.
inka tuku kii	the next day			el próximo día					Sara inka tuku kii nikachi chuún luu ka :	Then the next day the chicken said:	Y el próximo día la gallina dijó:
Saan ni va'a ni	no problem			no hay problema					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
