Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
kuena				them			ellos					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
kuera				they			ellos					Nikachi ta'an kuera tu'un , ra nikachi kuera :		
nikachi kuera				they said			dijeron					Nikachi ta'an kuera tu'un , ra nikachi kuera :		
satutu kuera				they collected			coleccionaron					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
nikitsaa kuera				they began			empezaron					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
nikasachuun kuera				they worked			trabajaron					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
nikachi kuera				they said			dijeron					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
nikunumi kuera		hurried up (kunumi = to hurry up)		they hurried up			se daron prisa					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
nikachi kuera				they said			dijeron					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
				they looked for			buscaron					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
				they gathered			coleccionaron					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
				they chase			persiguen					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
tatsi kuera				they chase	they chase it		persiguen	la persiguen				Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
nikitsaa kuera				they arrive			llegaron					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
nikitsaa kuera				they left			dejaron					Ika nikitsaa kuera tsian .	There they left with them.	Allí dejaron con éllas.
nikitsaa kuera				they arrived			llegaron					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
tatsi kuera				they chased			siguieron					Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
ku'un kueyu				you all go			ustedes vayan					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
kuni		what is the 3rd sg of 'want' "kuni"? (kunia)?		want			quiere					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kuni		not inflected? but this isn't gloss form right? which is "tsini" right?		know			sabe					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kuntakani				I will tell			voy a contar					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kuntakua'nu		get meaning! lemma!										Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
kusava'a na				they will make			van a hacer					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
kusava'a				I will make	will make		voy a hacer					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
kuu												Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
kuu				was			era					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
kuu				be			es					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
kuu		is this past? (there is "nikuu" right?) or is it talking about the present of the place which is the same? 	why is 'face' here?	was	was where		era	era donde				Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
kuu ña		check this phrase with speakers		were	were lying		estaban					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
nuu kuu toto utsa		what is this place name? Parts?	what is this "kuu"? 'be able to' or 'be'?	at (placeName)			a donde era (placeName)					Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
kuu		tense?		was			fue					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
kuva'a		is this inflected? is this the main lemma?		build			construir	fabricar				Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
luu		check		small	the people were old and small		pequeño	la gente eran ancianos y pequeños				Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
luu				short			corto					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
ma nikuu				not able to			no pusó					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ma nikuu				were not able to			no pudieron					Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
ma				not			no					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
mee so				all	every	everything	todo					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
mee so				so many			tantas					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
mii				itself			se mismo					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
na				those that			aquellos que					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
nikachi na				they said			dijeron					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
kusava'a na				they will make			van a hacer					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
na				people that			la gente					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
snaa na		should this be "sna'a"? Is this a misprint or a possibly regional variant?		they teach			enseñan					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
ta tsa na'a		literally: "since +long time"		long time ago			hace mucho tiempo					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
na'nu				big			grande					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
naa		them/ (TS) the rock existed with them										Cha ntsio yuu ka nuu naa .	And the rock was alive with them.	Y la piedra estaba vivo con ellos.
nuu naa		are "nuu naa" part of a phrase?	ended? check on this!		them			ellos				Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
nakintoi		get this!										Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
nako'on				let's go			vamos					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
nakoo inuu		get some other contexts of this phrase if possible		will be identical			va a parecer idéntico					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
naku'un yu		Why is this in 1sg!?		I go			me voy					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
		check! "nakuni yu" 'I will want?'										Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
nanchee				will help			va a ayudar					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
nani				called			llamado					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
nantakita'an				will collect			voy a coleccionar					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
nantasava'a		"na-" + "nta-" + "sava'a" (why the "nta-"?)		build			construir					Cha vichi ra chincheu yu , nantasava'a ña .	And now you help me make it.	Y ahora ayudame construirla.
nasatutu ko				let's collect			coleccionamos					— Vichi ra nasatutu ko yuu , ku'un kueyu nuu Xnuviko , ku'un chi Yuku Titu'un , ku'un tsi yuu .	Now we'll collect rock, you guys go to Mixtepec, go (?) mountain, go with(?) stone.	Ahora coleccionamos piedra, ustedes van a Mixtepec, vayan a (?) montaña, vayan con(?) piedras.
nasava'a				will make			va a hacer					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
nchaa		is this 'black'?										Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
kuain nchau		what is just "kick"?		you kick down			pateas abajo					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
yee kua'a xeen ncheu				you're too strong	you are strong		eres demasiado fuerte	eres fuerte				— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
nchii		is this what or where?										Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
nchii		is this 'shiny'?		shiny								— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
				many rocks			muchas piedras					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
nikachi na				they said			dijeron					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
nikachi kuera				they said			dijeron					Nikachi ta'an kuera tu'un , ra nikachi kuera :		
nikachi				said			dijó					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
nikachi				said			dijieron					nikachi kue chaa Ntisnuu .	said the men from Tlaxiaco.	dijeron los hombres de Tlaxiaco.
nikachi kuera				they said			dijeron					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
nikachi kuera				they said			dijeron					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
nikanchii				sun			sol					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
ntsinu nikanchii		add to dictionary entry for sun. And add verb 'ntsinu' to dictionary (is this the same as 'finished'? if so add second sense) if not add new entry (Get recordings!)		the sun came out			salió el sol					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
nikasachuun kuera				they worked			trabajaron					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
nikitsaa kuera				they began			empezaron					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
nikitsaa				started			empezó					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
nikitsaa				arrived			llegó					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
nikitsaa kuera				they arrive			llegaron					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
nikitsaa kuera				they left			dejaron					Ika nikitsaa kuera tsian .	There they left with them.	Allí dejaron con éllas.
nikitsaa kuera				they arrived			llegaron					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ntacha nikoyo		what does "ntacha" mean separately?		fell apart			se deshizó					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
nikunumi kuera		hurried up (kunumi = to hurry up)		they hurried up			se daron prisa					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
nikututu				gathered together			se recogió					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
ma nikuu				not able to			no pusó					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ma nikuu				were not able to			no pudieron					Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
nikuva'a				built			construyó					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
nine'e		"grabbed"?										Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
nitsio				existed			existía					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
kue nivi		check		the people	the people were old and small		la gente	la gente eran ancianos y pequeños				Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
nivi				people			gente					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
kue nivi				the people			la gente					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
ntaa		check this		flat			plano					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
ntacha				falls off			se cae					Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
ntacha nikoyo		what does "ntacha" mean separately?		fell apart			se deshizó					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
ntacha				fall off			caerse					— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
ntakani				told			contaron					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
