Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				then			y					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
ntsikaa				used to stand	stood		estaba	estuvo				Ika kuu nuu naa tu'un tuyuku ka'nu ntsikaa ñuu Xnuviko .	That is where the story of the the great big sabine tree of San Juan Mixtepec ends.	Aquel es dónde termine el cuento del sabino grande de San Juan Mixtepec.
ntsikaa				stood			estuvo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
ntsiketa				?								Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
ntsiketa				?								Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
ntsiko				came to live			vinó a vivir					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
ntsiko				came to live			vinó a vivir					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
ntsini				realized			darse cuento					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
ntsintee				inhabited			habitaron					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
ntsinu ti				it (animal) flew away			él (animal) salió volando					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ntututu				gathered			acumuló					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
ntututu				gathered			reunieron					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
numa				leaf			hoja					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
ña ka'nu nuu nti'i kue yutu				the biggest of all the trees	face		el mejor de todos los árboles	cara				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
nuu				therein			adentro					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
nuu				where			dónde					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
nuu		could you use "tsa'a (ña)" instead here?		regarding								Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
sa'a na				they make			hacen					Cha nuu ntsini kue nivi ña ma kuu , sa'a na ña cha'ncha yutu ka .	And then the people realized that they wouldn't be able to chop the tree down.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.
sava				top peak			al la punta					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
xini sava				on top			por encima					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
tsa'a sava				the bottom			el fondo	el parte inferior				Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
sava				half			metad					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
siu'u na				they scared			asustaron					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ta				when			al moment					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
ta tsa na'a ka xoo				a long time ago			hace mucho tiempo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
				the people			la gente					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
ta'an				kinsman	their kinsmen		compañero	sus compañeros				Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
takua				in order to			para					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
kai tani kai ni		'went back to work'? 'went back to work'?		went back to			continue to					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
nikuni ti				it (animal) wanted			él (animal) quiso	él (animal) quería				Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
kuntu'u ti				it (animal) landed			él (animal) aterrizó					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
kuntu'u ti				it (animal) lands			él (animal) aterriza					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ti				at it (animal)			le					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ti				it (animal)			le					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ti				it (animal)			lo (animal)					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
ntsinu ti				it (animal) flew away			él (animal) salió volando					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
kua'an ti				it (animal) left			se (animal) fue					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
kuntu'u ti				it (animal) sat down			él (animal) se sentó					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
tsa				?			?					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
ta tsa na'a ka xoo				a long time ago			hace mucho tiempo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
tsa'a sava				the bottom			el fondo	el parte inferior				Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
tsini na				they know			saben					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
tsio				parts			partes					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
tu'un				story			cuento					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
tu'un				they agreed			se acordaron					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
tu'un yutu				the story of the tree	story		el cuento de árbol	cuento				Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
tuyuku				sabine			sabino					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
tuyuku				the Sabine tree			el sabino					Ta nikitsaa na , ntsa'ncha na tuyuku ka , nivi kua'a ntututu , nikuni na ña ntacha ni .	Then they began, they choped the Sabine tree, many people gathered, they wanted it to fall.	Y empezaron, cortaron el sabino, mucha gente reunieron, querían que lo caya.
tuyuku				Sabine			sabino					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
tuyuku				Sabine			Sabino					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
tuyuku				Sabine tree			sabino					Ika kuu nuu naa tu'un tuyuku ka'nu ntsikaa ñuu Xnuviko .	That is where the story of the the great big sabine tree of San Juan Mixtepec ends.	Aquel es dónde termine el cuento del sabino grande de San Juan Mixtepec.
uvi				two			dos					Cha ta ntachi tuyuku ka , cha sava nta'a nikui , uvi tsio ntacha .	And then the Sabine fell, .....fell of in two two parts.	
vatu ni		"vatu ni" is this together? Get other uses of this and certain other forms.		able to			poder					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
xini				top			encima					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
xini sava				on top			por encima					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
ta tsa na'a ka xoo				a long time ago			hace mucho tiempo					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
ya'a				eagle			agila					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
yo'o				this			este					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ña ka'nu nuu nti'i kue yutu				the biggest of all the trees	the trees		el mejor de todos los árboles	los árboles				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
yutu				tree			árbol					Cha in kii ntatu'un kuena ña tsa chain yutu ka nuu na .		
tu'un yutu				the story of the tree	tree		el cuento de árbol	árbol				Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
ña												Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
ña				about			sobre					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ña ka'nu		superlative		the biggest	the biggest of all the trees		el mejor	el mejor de todos los árboles				Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ña				that			que					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
nicha'ncha ña		this is for sure completive! now make note when you see it without "ni" elsewhere. this is for sure completive! now make note when you see it without "ni" elsewhere.		they chopped			cortaron					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
ña cha				it's leaves			sus hojas					Ña kachi na kuu Tixitu ntachi numa ña , cha savi ntachi ña kuu Yuku Xitu .	...and half fell ? is (Yuku Xitu)	
ñoo				our town			nuestro pueblo					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ñuu				town			pueblo					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?

