Orth	  Pron(1)	 Pron(Pastor and Beam de Azcona)	 Pron(Pike and Ibach)	 Pron	 Pron	 Dom(sense1.i)	 Dom(sense1.ii)	 POS(sense1)	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 LA (sense1.i)	  LA (sense1.ii)	 Def(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	 Dom(sense2.i)	 Dom(sense2.ii)	 POS(sense2)	 EN(sense2.i)	 EN(sense2.ii)	 EN(sense2.iii)	 ES (sense2.i)	 ES(sense2.ii)	  ES(sense2.iii)	 Def(sense2)	 Example (sense 2)	 Example (sense 2) (EN)	 Example (sense 2) (ES)
chuún	ʧũ̀ṹ					Bird_genera		noun	chicken			pollo									Bird			hen			gallina						
to'lo	tóʔlò					Bird_genera		noun	rooster			gallo																					
kolo	kòló					Bird_genera		noun	male turkey			guajolote (masculino)																					
koni	kónì					Bird_genera		noun	female turkey			guajolote (feminina)																					
pii						Bird_genera	Turkey	noun	baby turkey			gualolotito																					
tixikua	t̪iʃìkʷá					Bird_genera		noun	swallow			golondrina																					
chumi	ʧùmí					Bird_genera		noun	owl			búho																					
saa ncha'i	sàà nʤáʔì					Bird_genera		noun	blackbird			mirlo																					
taka	t̪ákà					Bird_genera		noun	woodpecker			pájaro carpintero																					
ncho'o	nʤóʔò					Bird_genera		noun	hummingbird			colibrí																					
sata	sátà					Bird_genera		noun	pigeon			paloma																					
kañuu						Bird_genera		noun	quail			cordoniz																					
xi'a ka'nu	ʃìʔá káʔnù					Bird_genera		noun	eagle			agila																					
che'e	ʧèʔé					Bird		noun	beak			pico																					
ntsitsi	ntsìtsì					Bird		noun	wing			ala																					
nto'o	ndòʔó					Bird		noun	feather			pluma																					
tumi	t̬̪ùmí					Bird		noun	tail			cola																					
ntivi	nt̪ìví			nd̬ìví		Bird	Reproduction	noun	egg			huevo																					
yuku			ju˥ku˩			Egg		noun	yolk			yugo																					
li	lì					Bird	Habitat	noun	nest			nido																					
ve'e cho'o	βɛ́ʔɛ tʃóʔo					Bird	Habitat	noun	nest			nido						Ve'e cho'o saa kui	It's a bird's nest	Es un nido de pajaro													
chu'un	ʧũʔṹ					Insect		noun	spider			araña																					
tintoo	t̪íntùù					Insect	Arachnid	noun	spider			araña																					
chuxa	́					Insect	Spider	noun	daddy longlegs			segador																					
stu'a			stu˩ʔa˩			Insect	Habitat	noun	cobweb			telaraña																					
tisu'ma	tisùʔmà					Insect		noun	scorpion			escorpión	alacrán																				
tixantuchi	tiʃandutʃí					Insect		noun	catterpillar			oruga																					
kiti ki’in too geometro	kití kiʔin tòóò hejometro					Insect		noun	inchworm	geometric moth		geométrido																					
tikuaa			ti˩kwa˩a˧			Insect		noun	butterfly			mariposa																					
choko	ʧòkó					Insect		noun	ant			hormiga																					
ntiche'e	ndíʧèʔé					Insect		noun	cockroach			cucaracha																					
ntikama	ndíkàma					Living Being	Insect	noun	fly			mosca																					
ñuñu			ɲu˩ɲu˩˥			Living Being	Insect	noun	bee			abeja																					
tika	tìka					Living Being	Insect	noun	cricket			grillo	chapulín																				
tikoso						Living Being	Insect	noun	cricket			grillo	chapulín																				
timasa						Living Being	Insect	noun	grub	white worm		gallina ciega																					
tikuain	tikwã́ĩ					Living Being	Mosquito	noun	mosquito (long-legged)			zancudo																					
ntintoo						Living Being	Mosquito	noun	mosquito (short-legged)			zancudo de patas cortas																					
tise'e	tìseʔé					Living Being	Mosquito	noun	small mosquito			zancudo pequeño					Small mosquito that doesn't make noise.							twig			ramita						
chuma						Insect		noun	wasp			avispa																					
yoko	jòkò					Habitat	Bee	noun	hive			colmena																					
chikuii	ʧikʷìì					Element	Matter	noun	water			agua																					
yu'va		juʔvà				Matter	Water	noun	ice			hielo																					
yoko	jòkó					Matter	Gas	noun	steam			vapor																					
to'yo			do˩ʔjo˧			Elements		noun	water spring			agua de manantial																					
iín	ĩ̀ĩ̀					Mineral		noun	salt			sal																					
u'va		uʔvà				Taste	Salt	adj	salty			salado																					
ñu'u	ɲṹʔũ̀					Element		noun	fire			fuego																					
ñu'ma	ɲṹʔmà		ɲu˩ʔma˩			Fire		noun	smoke			humo																					
sañu'ma						Fire		verb	to smoke	to make smoke		fumar																					
yaa	jàá					Fire		noun	ash			ceniza																					
kaa	kàa		ka˩a˧			Element	Material	noun	metal			metal																					
kachi			ka˩tʃi˩˥			Material	Agriculture	noun	cotton			algodón																					
vikó						Weather		noun	cloud			nube																					
yoko xee						Weather		noun	storm cloud																								
vikonuu						Weather		noun	fog			niebla																					
savi	sàví					Weather		noun	rain			lluvia																					
ka'ni savi						Weather		noun	lightning			rayo																					
tatsa savi						Weather		noun	thunder			truenos																					
iin	ĩ́ĩ́					Weather		noun	hail			granizo																					
yuva	jùvá					Weather		noun	snow																								
tachi						Weather		noun	wind			viento									Bodily Function			fart	break wind		pedo						
tsantucha						Weather		noun	lightning																								
skoncha'ncha						Atmospheric_optical_phenomena		noun	rainbow			arco iris																					
i'ni	ĩʔnì					Temperature		adj	hot			caliente																					
yoko						Temperature		adj	warm																								
vi'ni	viʔnĩ					Temperature		adj	cold			frío																					
nikanchii	nìkànʤìí					Bodies_of_the_Solar_System		noun	the sun			el sól																					
antivi	and̪i˧vi↘					Meteorology		noun	sky			cielo																					
joo	jóó					Planetary_satellites		noun	moon			luna																					
chuun	ʧũ̀ũ̀					Stellar_astronomy		noun	star			estrella																					
Ñu'u Ñcha'i	ɲùʔú nʤaʔi					Land		noun	earth									Ñu'u Ñcha'i ka kai tono iin tikuaa.															
hemosferio	hemosférìo					Earth		noun	hemosphere																								
hemosferio sachi	hemosférìo sáʧì					Earth		placeNoun	Western Hemosphere																								
hemosferio kua'a	hemosférìo kwáʔà					Earth		placeNoun	Western Hemosphere																								
polo	pólo					Earth		noun	pole			polo																					
Polo chi Kuchi	pólo ʧíkùʧí					Polar_regions_of_the_Earth		noun	North Pole																								
Polo chi Ninu	pólo ʧí nìnũ̀ũ̀					Polar_regions_of_the_Earth			South Pole																								
ntikumi tsio	nd̪ikumí tsió					Geography	space	categoricalNoun	Cardinal Directions																								
Chi Kuchi	ʧí kùʧí					Cardinal_Directions			North																								
chi Ninu	ʧí nìnùù					Cardinal_Directions		noun	South									Su'a na'a ntikumi tsio tono chi Kuchi, chi Ninu, chi Kua'a tsi chi Sachi.															
Chi Kua'a	ʧíkwáʔà					Cardinal_Directions			East									Cha nche'e ko tuku ña chi Kua'a inkaa nikanchii, ra chi Sachi inkaa nta'a tsi.															
Chi Sachi	ʧí sáʧì					Cardinal_Directions			West																								
eje	éje					Earth		noun	equator									Saan so kavi nuu ña'a tee ntui ra koi yee, cha nania "eje".															
primer meridiano	primér meridjánò					Earth		noun	prime meridian			meridiano						Ña tsan'cha ma'i sava ntaa Ñu'u Ncha'i tsio kua'a tsi tsio sachi nania "Meridiano".															
continente	kónt̪inént̪e					RegionOf-Earth-Landmass		noun	continent									Cha ñu'u ka'nu ka nania "continente".															
ñuu	ɲuù					Geography		placeNoun	place			lugar						Kue ñuu inkaa chi Ninu.			Geography			city	town		pueblo	ciudad			Cha yee oko utsi iin ñuu ka'nu nania "estado" nuu Nko'yo.		
América	amérika					Geography		placeNoun	America									Yee iñu "continente" nania: África, América, Antártida, Asia, Europa tsi Oceanía .															
						Geography		placeNoun	South America			América del Sur						Yee utsi uni ñuu nuu Ñu'u chi Ninu.															
Ñu'uchi kuchi	ɲùʔúʧi kùʧí					Earth	Geography	placeNoun	South America			América del Sur						Yee utsi uni ñuu nuu Ñu'u chi Ninu.															
Nkoyo	ŋk̬ójò					North America	Earth	placeNoun	Mexico									Cha yee oko utsi iin ñuu ka'nu nania "estado" nuu Nko'yo.	An there are 31 large territories/lands called "states" in Mexico	Y hay 31 territorios grandes llamados "estados" en Mexico.													
Ñuu Savi						Mexico	Geography	placeNoun	Mixteca Region			La Mixteca																					
Ñuu Ntua	ɲùù nd̪ùá					Mexico	Geography	placeNoun	Oaxaca State									Nuu Ñu'u Ncha'i kantu'u nuu Ñuu Ntua ita'in tsi sava ka kue Ñuu na'nu tsio tsinu nikanchii.															
Snuviko						Oaxaca	Mexico	placeNoun	San Juan Mixtepec																								
Nuu Viko	nũ̀ũ̀ víkò					Oaxaca	Mexico	placeNoun	San Juan Mixtepec																								
Yucunani	jukunánì					Oaxaca	Mexico	placeNoun	Yucunani			Yucunani																					
Skuiia	skwíja					Oaxaca	Mexico	placeNoun	Santiago Juxlahuaca			Santiago Juxlahuaca																					
Seen						Oaxaca	Mexico	placeNoun	Huajuapan	Heroica Ciudad de Huajuapan de León		Heroica Ciudad de Huajuapan de León 	Huajuapan																				
Yucha Nchu'u	jùʧá nʧúʔù					Mexico	Geography	placeNoun	Puebla State			Estado de Puebla	Puebla								Puebla	Mexico		Puebla City	ciudad de Puebla	Puebla							
Nkoyo	ŋk̬ójò					Mexico	Geography	placeNoun	Mexico City			ciudad de México																					
Gaa			ga˩˧a˩			Mexico	Geography	placeNoun	Putla			ciudad de Putla																					
ntisnuu		ndìʃṹũ̀ṹ				Mexico	Geography	placeNoun	Heroic city of Tlaxiaco	Tlaxiaco		Heroica Ciudad de Tlaxiaco																					
Mina		mínaà				Mexico	Geography	placeNoun	Los Tejocotes			Los Tejocotes																					
Nkaun						Mexico	Geography	placeNoun	Santa Maria Tepostlantongo			Santa María Tepostlantongo																					
Estados Unidos						Geography	Earth	placeNoun	United States			Estados Unidos																					
Canadá						Geography	Earth	placeNoun	Canada																								
Antártida						Earth		placeNoun	Antarctica																								
Europa						Earth		placeNoun	Europe																								
Asia						Earth	Geography	placeNoun	Asia																								
África						Earth	Geography	placeNoun	Africa																								
Oceanía	oseaníja					Earth		placeNoun	Oceana																								
ñu'ú	ɲùʔú					Earth		noun	land	terreno		campo																					
ñu'u	ɲùʔú					NaturalMaterial		noun	soil																								
yaka	jáká					NaturalMaterial		noun	dirt																								
yaka	jáká					NaturalMaterial	Particulate	noun	dust																								
yuti	jút̪ì					NaturalMaterial		noun	sand																								
yuú	jùú					NaturalMaterial		noun	rock	stone		piedra																					
ncha'in	nʤàʔí					NaturalMaterial		noun	mud			lodo																					
yukú	júkú					Landscape		noun	mountain			montaña									Landscape			forest			bosque						
juku	júkù					Landscape		noun	hill	colina																							
nuu itu	nũ̀ũ̀ it̪ú					Landscape	Agriculture	placeNoun	feild			campo																					
yu'u yuku	juʔú júkù					Landscape		noun	valley			valle																					
yosoo	josòó					Landscape		noun	plain																								
juku	júku					Landscape		noun	forest			bosque																					
kava	kàvá					Landscape		noun	cave			cava																					
yucha	júʧà					Landscape	Water	noun	river	río											Landscape	Water		lake	lago								
yu'u yucha	juʔú júʧà					Landscape	Water	noun	river bank																								
tuyutsa	t̪íjùtsà					botany		noun	ocote pine tree			ocote																					
ntikaa		ndìkaà				Tree	Pine	noun	pinecone			piña																					
yutu	jút̪ù					botany		noun	tree			árbol																					
yu'u	jùʔú					botany	Tree	noun	root			raíz																					
nta'a yutu	ndàʔá jùtú					botany	Tree	noun	branch			rama									botany	Tree		leaf			hoja						
numa	numá					botany	Tree	noun	tree trunk			tronco						Numa ña yutu ka ntsinu mancha vikó	The trunk of the tree extended all the way to the clouds.	El tronco del arbol extendió hasta las nubes.													
sutsa						botany	Tree	noun	tree sap			savia																					
te'e	téʔe		te˩ʔe˩			botany		noun	vine			vid																					
tutú	t̪ùt̪ù					Tree		noun	wood	tree brush		madera	leña																				
yutu	jút̪ù					Vegitation	Tree	noun	stick																								
tiki	t̪íki					Reproduction	Vegitation	noun	seed																								
ita	it̪à		i˧ta˥			Vegitation	botany	noun	flower			flor																					
icha	iʧá					botany	Vegitation	noun	grass																								
ku'u						botany	Vegitation	noun	herb			yerba																					
minu xchila	mìnú ʃílà					botany	Vegitation	noun	mint			hierbabuena																					
tutu ka'a						botany	Herb	noun	bay leaf			hoja de laurel																					
yuku	jùkù					botany	Herb	noun	medicinal herb																								
yuva ntoo						botany		noun	pepperleaf			hierba santa	hoja santa		Poper auritum																		
nta'a tutichi						botany	Medicine	noun	avocado leaf			hoja de aguacate																					
ntuva tikuañu'u						botany	Medicine	noun	pipicha	pepicha	chepiche	pipicha	pepicha	chepiche	Porophyllum linaria																		
kua'a						botany	Vegitation	noun	bush			arbusto																					
mastansia						botany	Herb	noun	mustard			mostaza																					
minu tsatsu						botany	Herb	noun	wormseed			epazote																					
minu nchai						botany	Herb	noun	pennyroyal			poleo																					
yavi	jávì					botany	Cacti	noun				maguei																					
tumi'ncha						botany	Vegitation	noun				nopal																					
mi'ncha						botany	Vegitation	noun	prickly pear			nopal																					
tuxichi						botany	Vegitation	noun																									
ntoo						botany	Vegitation	noun																									
tumi'ncha						botany	Vegitation	noun																									
iñu cha'a						botany	Vegitation	noun																									
chiki						botany	Vegitation	categoricalNoun	prickly pear			tuna																					
kui'i	kʷìʔí					Plant	food	categoricalNoun	fruit			fruta																					
nche'e	nʤèʔé					fruit	food	noun	peach			durazno																					
nchika	nʤiká					food	fruit	noun	plantain			plátano									food	fruit		banana			banana						
ntoko						food	fruit	noun	blackberry			anona																					
nchika tsa'a						food	fruit	noun	mamme			mamey																					
tinumi						food	fruit	noun	Mexican Hawthorn			tejocote																					
tintixi						fruit	food	noun	pomegranate	granada																							
vitsi						food	fruit	noun	pineapple	piña																							
tikuantiki						food	fruit	noun	guava	guayaba																							
tikuaa		tikwàá				food	fruit	noun	orange			naranja																					
tixi	t̬̪íʧì					food	botany	noun	avocado			aguacate																					
kaka			ka˧ka˩			food	botany	noun	lime			lima																					
ntuchi	ndùʧí					Legume	food	noun	bean			frijol									internal organs			kidney			riñón						
ñami	ɲámì					Legume	food	noun	yam	sweet potato		camote																					
nchichi						Legume	food	noun	green bean			ejote																					
tikuiti						Legume	food	noun	potato			papa																					
iki		ikìí				Vegitable	food	noun	pumpkin			calabaza																					
ncha-iki						food	Pumkin	noun	pumpkin salsa			salsa de calabaza																					
tituyu			ti˩du˧˩yu˩˥			Vegitable	Squash	noun	(type of squash)			(típo de calabaza)																					
naña						fruit	food	noun	chayote	vegitable pear		chayote																					
tsi'i						Vegitable	Fungus	noun	mushroom			hongo																					
tikumi			ti˩ku˩mi˧			Vegitable		noun	onion			cebolla																					
tinana	tínana					food	fruit	noun	tomato			tomate																					
yuva		juvà				Vegitable		noun	wild vegitable			vegitable salvaje																					
isa						Corn		noun	corn stalk																								
ntayo'o						Corn		noun	corn stalk																								
nuni						Vegitable	Corn	noun	corn kernal																								
nii	nìí		ni˧˩i˥			Corn	Vegitable	noun	corn kernal																								
tsa'a						Corn	Vegitable	noun	corn																								
ntixi						Corn	food	noun	corn cob	elote																							
saiin						Corn		noun	cob			mazorca																					
ska'ma						Vegitable		noun	jicama	Mexican turnip		jícama																					
ntua ña'mi						Vegitable	food	noun	radish			rábano																					
staa	stáá		sta˩a˥			food	Corn	noun	tortilla			tortilla																					
tikasu			ti˩ka˩su˩			food	Corn	noun	tortilla (toasted)			tortilla (tostada)																					
ncha'a		ntʃáʔá				Elements		noun	liquid			líquido																					
ncha'a ya'a	ntʃáʔá jaʔá					food		noun	salsa			salsa																					
ya'a			ja˧ʔa˥			food	Spice	noun	chili pepper			chile																					
kuee	kweé					food		noun	nut			nuez																					
paa	pã́:					food		noun	bread			pan																					
keso	késo					food	Dairy	noun	cheese			queso																					
krema	kréma					food	Dairy	noun	creme																								
xikui			ʃi˩kwi˧			Dairy	Beverage	noun	milk			leche																					
leche	léʧè					Dairy	Beverage	noun	milk			leche																					
kafe	káfe					Beverage		noun	coffee			café																					
tuxi	dùʃì					food	Bee	noun	honey			miel																					
asukar	asúkàr					food	Seasoning	noun	sugar			azucar																					
ndoo			nt̬o˩o˥			food	Seasoning	noun	sugarcane			caña de azúcar																					
in	ĩĩ					CardinalNumbers		cardinalNumber	one			uno									Grammar									indefinite article			
uvi						CardinalNumbers		cardinalNumber	two			dos						Yo'o inkaa uvi tina.															
uni	ùnì					CardinalNumber		cardinalNumber	three			tres						Yo'o ntee uni xini.															
kumi	kumí					CardinalNumbers		cardinalNumber	four			cuatro																					
u'un	ũ̀ʔũ̀					CardinalNumber		cardinalNumber	five			cinco																					
iñu	iɲu					CardinalNumber		cardinalNumber	six			seis																					
utsa	ùtsa							cardinalNumber	seven			siete																					
una	unà					CardinalNumber		cardinalNumber	eight			ocho																					
iin	ĩĩ↘					CardinalNumbers		cardinalNumber	nine			nueve																					
utsi	utsì					CardinalNumber		cardinalNumber	ten			diez																					
utsi-in	utsì ĩ́ĩ́					CardinalNumber		cardinalNumber	eleven			once																					
utsi-uvi	utsì úβi					CardinalNumber		cardinalNumber	twelve			doce																					
utsi-uni	utsì ùnì					CardinalNumbers		cardinalNumber	thirteen			trece						Yee utsi uni ñuu nuu Ñu'u chi Ninu.															
utsi kumi	utsì kumí					cardinalNumber		cardinalNumber	fourteen			catorce																					
tsa'un	tzã̀ʔũ̀		tsã˩ʔũ˩			CardinalNumber		cardinalNumber	fifteen			quinze																					
tsa'un-in						CardinalNumber		cardinalNumber	sixteen			dieciséis																					
tsa'un-uvi						CardinalNumber		cardinalNumber	seventeen			diecisiete																					
tsa'un uni						CardinalNumber		cardinalNumber	eighteen																								
tsa'un kumi						CardinalNumber		cardinalNumber	nineteen																								
oko	oko					CardinalNumbers		cardinalNumber	twenty																								
oko iin	oko ĩ́ĩ́					CardinalNumber		cardinalNumber	twenty one																								
oko uvi						CardinalNumber		cardinalNumber	twenty two																								
oko uni						CardinalNumber		cardinalNumber	twenty three																								
oko kumi						CardinalNumber		cardinalNumber	twenty four																								
oko u'un	oko ũ̀ʔũ̀					CardinalNumber		cardinalNumber	twenty five																								
oko iñu						CardinalNumber		cardinalNumber	twenty six																								
oko utsa						CardinalNumber		cardinalNumber	twenty seven																								
oko una	oko ùná					CardinalNumber		cardinalNumber	twenty eight																								
oko iin	oko ĩ̀ĩ̀					CardinalNumber		cardinalNumber	twenty nine																								
oko-utsi	oko utsì					CardinalNumber		cardinalNumber	thirty			treinta																					
oko utsiiin	oko utsì ĩ́ĩ́					CardinalNumber		cardinalNumber	thirty one																								
oko utsi uvi	oko utsì uvi					CardinalNumber		cardinalNumber	thirty two																								
oko utsi uni	oko utsì uni					CardinalNumber		cardinalNumber	thirty three																								
oko utsi kumi	oko utsì kumí					CardinalNumbers		cardinalNumber	thirty four																								
oko tsa'un						CardinalNumber		cardinalNumber	thirty five																								
oko tsa'un iin						CardinalNumber		cardinalNumber	thirty six																								
oko tsa'un						CardinalNumber		cardinalNumber	thirty seven																								
oko tsa'un uni						CardinalNumber		cardinalNumber	thirty eight																								
oko tsa'un kumi						CardinalNumber		cardinalNumber	thrity nine																								
uxiko						CardinalNumber		cardinalNumber	fourty	cuarenta																							
uxiko-in						CardinalNumber		cardinalNumber	fourty one			cuarenta y uno																					
uxiko-uvi						CardinalNumber		cardinalNumber	fourty two			cuarenta y dos																					
uxiko-uni						CardinalNumber		cardinalNumber	fourty three			cuarenta y tres																					
uxiko kumi						CardinalNumber		cardinalNumber	fourty four			cuarenta y cuatro																					
uxiko-u'un						CardinalNumber		cardinalNumber	fourty five			cuarenta y cinco																					
uxiko iñu						CardinalNumbers		cardinalNumber	fourty six			cuearent y seis																					
uxiko-utsa						CardinalNumber		cardinalNumber	fourty seven			cuarenta y siete																					
uxiko-una						CardinalNumber		cardinalNumber	fourty eight			cuarenta y ocho																					
uxiko iin						CardinalNumber		cardinalNumber	fourty nine	fourty-nine		cuarenta y nueve																					
uxiko-utsi						CardinalNumber		cardinalNumber	fifty			cincuenta																					
uxiko-utsi-in						CardinalNumber		cardinalNumber	fifty onme			cincuenta y uno																					
uxiko-utsi-uvi						CardinalNumber		cardinalNumber	fifty two			cincuenta y dos																					
uxiko-utsi-uni						CardinalNumber		cardinalNumber	fifty three																								
uxiko-utsi-kumi						CardinalNumber		cardinalNumber	fifty four			cincuenta y cuatro																					
uxiko tsa'un						CardinalNumber		cardinalNumber	fifty five			cincuenta y cinco																					
uxiko-tsa'un-iin						CardinalNumber		cardinalNumber	fifty six			cincuenta y seis																					
uxiko-tsa'un-uvi						CardinalNumber		cardinalNumber	fifty seven			cincuenta y siete																					
uxiko-tsa'un-uni						CardinalNumber		cardinalNumber	fifty eight	cincuenta y ocho																							
uxiko-tsa'un-kumi						CardinalNumber		cardinalNumber	fifty nine			cincuenta y nueve																					
uni-xiko						CardinalNumber		cardinalNumber	sixty			sesenta																					
uni-xiko-in						CardinalNumber		cardinalNumber	sixty-one			sesenta y uno																					
uni xiko uvi								cardinalNumber	sixty-two																								
uni xiko uni						CardinalNumbers		cardinalNumber	sixty-three																								
uni xiko kumi						CardinalNumber		cardinalNumber	sixty-four																								
uni xiko u'un						CardinalNumber		cardinalNumber	sixty-five																								
uni xiko iñu						CardinalNumber		cardinalNumber	sixty-six																								
uni utsa						CardinalNumber		cardinalNumber	sixty-seven																								
uni una						CardinalNumber		cardinalNumber	sixty-eight																								
uni xiko iin						CardinalNumber		cardinalNumber	sixty-nine																								
uni xiko utsi						CardinalNumbers		cardinalNumber	seventy																								
uni utsi in						CardinalNumbers		cardinalNumber	seventy-one																								
uni-xiko-utsi-uvi						CardinalNumbers		cardinalNumber	seventy-two			setenta y dos																					
uni-xiko-utsi-uni						CardinalNumbers		cardinalNumber	seventy-three			setenta y tres																					
uni-xiko-utsi-kumi						CardinalNumbers		cardinalNumber	seventy-four																								
uni-xiko-tsa'un						CardinalNumbers		cardinalNumber	seventy five			setenta y cinco																					
kumi-xiko						CardinalNumbers		cardinalNumber	eighty			ochenta																					
kumi-xiko-u'un						CardinalNumbers		cardinalNumber	eighty five			ochenta y cinco																					
kumi-xiko-utsi						CardinalNumbers		cardinalNumber	ninety			noventa																					
kumi-xiko-tsa'un						CardinalNumbers		cardinalNumber	ninety five	noventa y cinco																							
in-sientu						CardinalNumbers		cardinalNumber	one hundred			cien																					
kolor	kolór					Color		categoricalNoun	color			color																					
nchaa	nʤáá			nʧáá		Color		adj	blue			azul											noun										
ntinchaa	nt̪inʤáá					Color		adj	blue			azul											noun										
nchaa ndintuku	nʤáá ndindúkù			nʧáá ndindúkù		Color		adj	blue violet			azul violeta											noun										
ntintuku	ndindúkù					Color		adj	violet			violeta											noun										
kua'a ndintuku	kwáʔà ndindúkù					Color		adj	red violet														noun										
kua'a	kwáʔà		kwa˥ʔa˩			Color		adj	red			rojo											noun										
ntikua'a						Color		adj	red			rojo											noun										
ntirosa						Color		adj	pink			rojo											noun										
ntiya'a						Color		adj	orange			naranja											noun										
nchaa kuii	nʤáá kwìjí			nʧáá kwìjí	nʧáá kwìí	Color		adj	turquois blue			azul turquesa											noun										
kuaan kua'a	kwã̀ã̀ kwáʔà					Color		adj	yellow orange			amarillo naranja											noun										
kuaan kua'a	kwáʔà kwã̀ã̀					Color		adj	orange yellow			naranja amarillo											noun										
kuii nchaa	kwìjí nʤáá			kwìjí nʧáá	kwìí nʧáá	Color		adj	turquois green			verde turquesa											noun										
kuii	kwìjí			kwìʲí	kwìí	Color		adj	green			verde											noun										
ntikuii						Color		adj															noun										
kuii kuaan	kwìjí kwã̀ã̀					Color		adj	green yellow														noun										
kuaan kuii						Color		adj	yellow green														noun										
kuaan	kwã̀ã̀		kwã˥ã˩			Color		adj	yellow														noun										
ntikuaan						Color		adj	yellow			amarillo											noun										
kafé	kafé					Color		adj	brown			marrón	(color) café										noun										
nitkafé						Color		adj	brown			marrón	(color) café										noun										
meeku								noun	brown			marrón																					
ncha'i						Color		adj	black			negro											noun										
ntincha'i	ndindʒáʔì					Color		adj	black			negro											noun										
ncha'i ya'a						Color		adj	black grey			gris negro											noun										
ya'a ncha'i						Color		adj	dark grey			gris oscuro											noun										
ya'a	jáʔà					Color		adj	grey			gris											noun										
ntiñu'u						Color		adj	grey			gris											noun										
yaa ya'a	jàà jáʔà					Color		adj	light grey	ash		gris claro											noun										
ya'a yaa	jáʔà jàà					Color		adj	lighter grey														noun										
yaa	jàà					Color		adj	white			blanco											noun										
ntiyaa						Color		adj	white			blanco											noun										
kuitsi			kwi˥tsi			Color		adj	white			blanco											noun										
naa			na˧˩a˥			Light		adj	dark			oscuro																					
veñu'u	βeɲũʔũ̀					Religion	Christianity	placeNoun	church			iglesia																					
chikuii ii	ʧikwíìí					Religion	Catholicism	noun	holy water																								
i'ni	ĩ́ʔĩ́					health		noun	sweat lodge			baño de vapor																					
na'nu	náʔnu					Size		adj	very big			muy grande																					
ka'nu	káʔnu		ka˥ʔnu˧			Size		adj	big			grande																					
luu	lùù					Size		adj	small	little		pequeño	chico								Age	living being		young			joven						
lulu			lu˧lu˧			Size		adj	small			pequeño	chico																				
kuachi						Size		adj	small			pequeño									Age	living being		young			joven						
suku	sukù					Height		adj	tall			alto																					
cha'a	ʧáʔà	ʧáʔà				Height		adj	short			bajo																					
kuiti			kwi˥ti˩			Height		adj	short			bajo																					
kuku	kúkú					Shape		adj	thick			grueso																					
nti'i						Shape	body	adj	fat			gordo																					
chee			dʒe˧e˥			Shape		adj	thick			grueso																					
tikatsa	t̪̬ìkatsa					Shape		adj	skinny			flaco																					
kuiin	kwĩ̀ĩ́					Shape	Inanimate Object	adj	thin																								
kuii		kwĩ́ĩ̀ĩ́				Shape		adj	narrow			estrecho																					
ntika	ndíkà					Shape		adj	wide																								
ña'a	ɲàʔá	ɲàʔa				Object		noun	thing			cosa																					
ña									that			que						Kunchee ñasuii ka ña inkai ma'i	Look at the little boy that's in the middle.	Mira el niñito que está en el medio.													
kaxi	kàʃì					Jewlery		noun	ring																								
ntiki						Sound		noun	horn																								
uli						Tool		noun	slingshot																								
kuika			kwi˩ka˩			Hair		noun	comb			peine																					
yooso		jòóso				Tool		noun	metate			metate					Flat grindstone tool used for processing grains and seeds, especially corn in food preparation.																
ntaku	nt̬ákù					Tool	Domestic	noun	broom			escoba																					
yo'o			jo˧ʔo˥			Tool		noun	rope			soga																					
ntuyu kaa						Tool		noun	nail																								
usu						Agriculture	Tool	noun	sickle			hoz																					
koso			ko˩˧so˩			Tool		noun	adze																								
tutu	t̪ùt̪ù			t̪ut̪u		Material		noun	paper			papel																					
yuvi						Furnishing		noun	floor mat			alfombra de piso																					
mesa	mésà					Furnishing		noun	table			mesa																					
chai	ʧáì					Furnishing		noun	chair			silla																					
tsito	tsít̪ò					Furnishing		noun	bed			cama																					
soo	sòó					Furnishing		noun	blanket			manta																					
yuvi			ju˧˩vi˩˥			Bed	Furniture	noun	bedroll			petate																					
ko'o		kòʔó				Dining	Tools	noun	dish	plate		plato																					
yatsi						Container	Tools		bowl			bol																					
yuchi	jù˩tʃi					Tools		noun	knife			cuchillo																					
tuun								noun	box			caja																					
tsatu		tsàtùú	tsa˩tu˩˥					noun	box			caja																					
kisi			ki˩si˧			Container		noun	jar			frasco																					
tsikavichi						Tools		noun	basket			canasta																					
li	lì							noun	basket																								
ñuñu								noun	net																								
vaso						Tools		noun	vase																								
yoo	jòò					Tools		noun	cup	drinking vessel	jug	vaso	olla																				
yatsii		jatzìí				Tool	Container	noun	ladel	small water dipper		cazo de agua	cucharón																				
nama						Hygene		noun	soap			jabón																					
loonto	lòòndó							noun	pile			montón																					
xu'u	ʧṹʔũ̀					Currency	Economy	noun	money			dinero																					
xu'un tutu			ʧũ˩˥ tu˧tu˩			Currency	Economy	noun	paper money	bills		billete																					
xu'un kuachi						Currency	Economy	noun	coin			moneda																					
cha'vi						Economy		verb	to pay			pagar																					
ya'vi						Economy		adj	expensive			caro									Economy	Quantity	verb	to cost			costar				¿Nisa ya'via?	How much does it cost?	¿Cuánto cuesta?
kue ya'vi						Economy		adj	cheap			barato																					
ya'vi						Economy		placeNoun	market			mercado	tianguis																				
