Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ika				there			allí					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
ntasa'a na				?			?					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
nti'a		related to "nti'i"?		?	it (tree) was so high			él (arból) era tan alto				Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
ntsa'ncha na		compare this form to the ones in L148, they are all different compare this form to the ones in L148, they are all different		chopped down			cortaron					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
ntsa'ncha na				they chopped			cortaron					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
ntsa'ncha na				they chopped	they chopped it down		cortaron	lo cortaron				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
ntsikaa				stood			estaba					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ntsikaa				stood			estava					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
ntsikaa				stood			estaba parado					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
ntsikana kavi				fell			se cayó					Ika ra ntsikana kavi nuu chikuii .	There (?) fell into the water.	Allí (?) se cayó en el agua.
ntsikuu				there used to be			había					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ntsino				in our past			en nuestro passado					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
ntsinu				extended			se extendió					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
ntsinu				extended			se extendió					Sara inka numa ntsinu mancha Yuku Xitu .	And another branch extended all the way to (?placeName).	Y otra rama se extendió hasta (?placeName).
ntsinu				extended			se extendió					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
ntsitsi'i kueña		is this "they were (happy) or (small)"? is this "they were (happy) or (small)"?		?			?					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
ntuu				to this day			hasta la fecha					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
		verb with PRON-TREE or possesive +  tree is the possessor		?								Saan sa'a na sara ntuva tu .		
tsiko nui				circling			girando altreador					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
numa				branch			rama					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
				its branches			sus ramas					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
numa tu				the tree's branch			la rama del árbol					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
nuu				where			donde					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
nuu chikuii				from the water			del agua					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
nuu chikuii				in the water			en el agua					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
nuu chikuii				into the water			en al agua					Ika ra ntsikana kavi nuu chikuii .	There (?) fell into the water.	Allí (?) se cayó en el agua.
nuu norti				to the North			al Norte					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
nuu		slightly different usage, spectral variant from "speaking to (someone)"		to	face	to their children	a	a sus niños				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
nuya'vi ñuu		put in as related entry to "nuya'vi"		town plaza			plaza del pueblo					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
nuya'vi		this is a blend of "nuu" and "ya'vi". This is due to the occurance of the two with such high freqency 'in the/to the plaza'		plaza			plaza					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
sa'a na				they made			hicieron					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
sa'a na				they make			hacen					Saan sa'a na sara ntuva tu .		
takua saan				so that			para que					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
kuun savi				it rained			llovió					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
nuu se'e na				to their children	their children		a sus niños	sus niños				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
sientu				hundred			cientos					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
sna'a na				they teach			enseñan					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
snaa na				they teach			enseñan					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
nti'a suku tu				it (tree) was so high			él (arból) era tan alto					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
ta kii ta kii				day by day			día a día					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
ta kii ta kii				day by day			día a día					Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
ta'an				companion	the people's relatives		compañero	los parientes de la gente				Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
tekiu				?								Sara sa'a na tekiu ta kii ta kii .	And they made the (?) day by day.	Y hicieron (?) día a día.
tikoi				?			?					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
tsiko nui				circling			girando altreador					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
kue tsini na				they don't know			no saben					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
tuu tsito na				?			?					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
												Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
nti'a suku tu				it (tree) was so high			él (arból) era tan alto					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
nta'a tu		the image shows them chopping the trunk not the branch		it's branch	it's trunk							Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
tu				it (tree)			lo (arbol)					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
ntsa'ncha na tu				they chopped it down	it (tree)		lo cortaron	lo (árbol)				Tia kue nivi Xnuviko ntsa'ncha na tu .	And so the people of Mixtepec chopped down the tree.	
		verb with PRON-TREE or possesive +  tree is the possessor		?								Saan sa'a na sara ntuva tu .		
				its branches			sus ramas					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
numa tu				the tree's branch			la rama del árbol					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
tu'un												Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
tu'un yata				legend			leyenda					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
tu'un yata				legend	the legend of our town	our town's legend	leyenda	la leyenda de nuestro pueblo				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
tu'un yata ko				our legend			nuestra leyenda					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
tuu					?			?				Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
tuu												Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
tuyuku				Sabine tree			Sabino					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
in tuyuku				a sabine tree			un sabino					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
tuyuku				Sabine tree			sabino					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
uni				three			tres					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
uni xiko				sixty			sesenta					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
uvi				two			dos					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
va'a		"va'a" 'good' or "vá'a" 'bad'?										Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
vari				because			porque					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
vi nani				they call			llaman					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
in vikó				a cloud			un nube					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
kii xchaa				early in the morning			temprano en la mañana					Ta kitsaa na kii xchaa ra nta'a tu .	When they arrived early in the morning,(?).	Cuando llegaron temprano en la mañana, (?).
xiní yutu				above the tree			sobre el árbol					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
ya		is this the deity pronoun!?		?								Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
yachi				nearby			acerca de aquí					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
yachi				near			cerca					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
yata				elder			anciano					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
tu'un yata				legend	the legend of our town	our town's legend	leyenda	la leyenda de nuestro pueblo				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
tu'un yata ko				our legend			nuestra leyenda					Vichi , ma snaa na tu'un yata ko .	Now, they don't teach our legend anymore.	Ahora, ya no enseñan nuestra leyenda.
yatsi				bowl			plato hondo					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
kuentu yo'o				this story			este cuento					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
ñuu yo'o				this town			este pueblo					Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".
yo'o				this			este					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
yutu yo'o				this tree			este árbol					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
yutu yo'o				this tree			este árbol					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
yutu yo'o				this tree			este árbol					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
yo'o				this			esta					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
yu'u yucha				river bed			el lecho del río					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
xiní yutu				above the tree			sobre el árbol					Ta kunkuu yachi kuun savi ra in vikó xiní yutu ka .	And then it started to rain nearby and there was a cloud over the tree.	Y empezó a llover cerca, y había un nube sobre el árbol.
yutu				tree			arbol					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
yutu				tree			árbol					Tsa'a ña va'a ka nikachi ta'an kue nivi ñuu tu'un , ntsa'ncha na yutu ka .	Because of that (?), the people and relatives of the town said they chopped down the tree.	Por esto (?), la gente y parientes del pueblo dijeron que cortaron el árbol.
yutu yo'o				this tree			este árbol					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
yutu yo'o				this tree			este árbol					Ika kuu ña ntsinu numa tu vari ka'nu nchu'a yutu yo'o .	It was there that the branch extended because this tree was so big.	Era allí hasta que su rama se extendió porque este árbol era tan grande.
yutu yo'o				this tree			este árbol					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
ña				that			que					— Nantakani in kuentu ña ntakani kuena yata .	I will tell you a story that the elders used to tell.	Voy a contar un cuento que los ancianos contaban.
ña				that was			que era					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
				for that reason	it's roots		por esto	sus raízes				Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
ña				it			lo					Sara kuni kueña kuachi kii ntaki'an ña .	Then one day they wanted to pick it up.	
				because of this			por esto					Tsa'a ña ka'nu nchu'a yutu yo'o , ntsinu numa tu mancha Tixitu .	Because of that this tree is so big its branches went all the way to (?).	Por esto este árbol es tan grande, sus ramas (?)..
ña				it			la					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
ñoo				our town			nuestro pueblo					Tsa'a yutu yo'o ña vi nani ñoo Xiní Vikó a Xnuviko .	This is why they call our town "Top of the Clouds" or "Down from the Clouds".	Es debido a este árbol que nuestro pueblo se llama "Encima de las Nubes" o "Bajan las Nubes". 
tu'un yata ñoo				the legend of our town	our town's legend	our town	la leyenda de nuestro pueblo	nuestro pueblo				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
nuya'vi ñuu		put in as related entry to "nuya'vi"		town plaza			plaza del pueblo					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
ñuu yo'o				this town			este pueblo					Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".
ñuu				town			pueblo					Tsa'a ña nani ñuu yo'o ñuu Xnuviko .	Because of that this town is called "down from the clouds".	Por esto este pueblo se llama "bajan las nubes".

