Vowel	F1_pt3	F1_mid	F1_pt7	F2_pt3	F2_mid	F2_pt7	F3_pt3	F3_mid	F3_pt7
e	680	416	357	2619	1266	2272	2619	2184	2997
i	695	369	--undefined--	2440	2275	--undefined--	2440	2847	--undefined--
i	387	345	357	2987	2117	2051	2987	2612	2654
i	1968	435	--undefined--	3302	2133	--undefined--	3302	2892	--undefined--
i	387	345	357	2987	2117	2051	2987	2612	2654
i	1968	435	--undefined--	3302	2133	--undefined--	3302	2892	--undefined--
i	487	315	983	3077	2161	2351	3077	2872	3134
i	1986	246	340	3216	2540	1168	3216	2945	2332
u	254	256	--undefined--	2712	971	--undefined--	2712	2322	--undefined--
i	322	305	238	3014	2165	2119	3014	2687	2907
i	2111	293	233	3274	2125	1210	3274	2831	2323
u	1166	233	--undefined--	3145	1206	--undefined--	3145	2320	--undefined--
a	257	557	591	2624	1571	1572	2624	2316	2416
a	536	670	343	2358	1509	2216	2358	2191	2658
i ⁱ^̰ 	377	317	302	2336	2427	1118	2336	2558	2459
ⁱ^̰ i	526	336	569	2596	2462	2114	2596	2709	2680
i	323	259	--undefined--	2615	2456	--undefined--	2615	3089	--undefined--
a	247	543	619	2352	1438	1536	2352	2175	2256
a	500	592	398	2085	1535	2309	2085	2187	2485
i	1075	452	289	2203	2483	2510	2203	2741	2915
i	311	297	--undefined--	2403	2269	--undefined--	2403	2886	--undefined--
i	324	455	1943	2373	2074	2641	2373	2822	3386
i 	1944	337	--undefined--	3403	2336	--undefined--	3403	3037	--undefined--
i	329	554	1920	2308	1650	2700	2308	2467	3333
i 	1915	360	--undefined--	3220	1661	--undefined--	3220	2384	--undefined--
iː 	1432	285	291	3328	1534	2267	3328	2400	2732
iː	1405	348	271	3354	1068	1836	3354	2249	2379
iː	381	297	--undefined--	2662	2183	--undefined--	2662	2957	--undefined--
 ĩːː 	318	360	270	2765	2295	1664	2765	3000	2438
ĩː 	1939	360	--undefined--	3607	2190	--undefined--	3607	2262	--undefined--
ĩːː	521	376	290	2973	2255	2029	2973	2901	2867
 ĩːː 	1359	347	840	2988	1735	1636	2988	2546	3033
ĩː	1218	353	998	3168	1822	1555	3168	2734	2978
a	870	684	537	2267	1387	1472	2267	2632	2600
a	359	677	--undefined--	2431	1440	--undefined--	2431	2258	--undefined--
a	808	837	478	2490	1329	1449	2490	2182	2425
a	453	848	--undefined--	2467	1598	--undefined--	2467	2821	--undefined--
