LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	F0min	F0mid	F0max	F0StdDev	Sourcefile								LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	z-scores	F0min	F0mid	F0max	F0StdDev	Sourcefile
Falling	76	78	91	-un-	82	-un-	-un-	-un-	-un-	-un-	79	82	83	1.46	S_that_man_is_bad_01_spkrTS								Falling	76	78	91		82							79	82	83	1.46	S_that_man_is_bad_01_spkrTS
Falling	-un-	-un-	89	84	81	81	82	-un-	-un-	-un-	80	81	100	4.42	S_this_is_new_01_spkrTS								Falling			89	84	81	81	82					80	81	100	4.42	S_this_is_new_01_spkrTS
Falling	88	82	-un-	82	94	-un-	-un-	-un-	-un-	-un-	90	94	96	2.48	S_this_is_new_01_spkrTS								Falling	88	82		82	94							90	94	96	2.48	S_this_is_new_01_spkrTS
Falling	-un-	-un-	-un-	-un-	84	77	-un-	-un-	-un-	85	77	84	90	4.97	S_this_is_new_02_spkrTS								Falling					84	77				85		77	84	90	4.97	S_this_is_new_02_spkrTS
Falling	86	82	-un-	78	90	88	-un-	-un-	-un-	-un-	89	90	90	1.16	S_this_is_new_02_spkrTS								Falling	86	82		78	90	88						89	90	90	1.16	S_this_is_new_02_spkrTS
Falling	-un-	-un-	-un-	-un-	82	82	-un-	-un-	-un-	85	80	82	88	2.4	S_this_is_sacred_01_spkrTS								Falling					82	82				85		80	82	88	2.4	S_this_is_sacred_01_spkrTS
Falling	-un-	-un-	82	79	93	84	-un-	-un-	-un-	-un-	85	93	98	4.97	S_this_is_sacred_01_spkrTS								Falling			82	79	93	84						85	93	98	4.97	S_this_is_sacred_01_spkrTS
Falling	-un-	-un-	-un-	100	77	-un-	-un-	-un-	-un-	75	71	77	87	5.61	S_this_is_sacred_02_spkrTS								Falling				100	77					75		71	77	87	5.61	S_this_is_sacred_02_spkrTS
Falling	-un-	-un-	75	73	86	-un-	83	-un-	-un-	-un-	85	86	91	3.3	S_this_is_sacred_03_spkrTS								Falling			75	73	86		83					85	86	91	3.3	S_this_is_sacred_03_spkrTS
Falling	-un-	-un-	92	121	114	88	85	-un-	-un-	-un-	88	114	124	12.77	WH_Q_what_01_spkrTS								Falling			92	121	114	88	85					88	114	124	12.77	WH_Q_what_01_spkrTS
Falling	-un-	60	-un-	120	111	93	80	-un-	-un-	-un-	90	111	121	9.35	WH_Q_what_02_spkrTS								Falling		60		120	111	93	80					90	111	121	9.35	WH_Q_what_02_spkrTS
Falling	-un-	-un-	-un-	102	91	90	79	-un-	-un-	-un-	83	91	104	6.31	WH_Q_what_03_spkrTS								Falling				102	91	90	79					83	91	104	6.31	WH_Q_what_03_spkrTS
Falling	-un-	96	93	-un-	59	-un-	-un-	-un-	83	79	51	59	113	23.74	WH_Q_when_02_spkrTS								Falling		96	93		59				83	79		51	59	113	23.74	WH_Q_when_02_spkrTS
Falling	-un-	106	108	104	99	85	88	-un-	-un-	-un-	90	99	104	4.41	WH_Q_who_01_spkrTS								Falling		106	108	104	99	85	88					90	99	104	4.41	WH_Q_who_01_spkrTS
Falling	-un-	92	93	90	85	84	84	-un-	-un-	-un-	83	85	90	2.36	WH_Q_who_02_spkrTS								Falling		92	93	90	85	84	84					83	85	90	2.36	WH_Q_who_02_spkrTS
Rising-Falling	-un-	-un-	99	104	113	106	102	103	-un-	-un-	99	113	113	5.08	ADJ_new_01_spkrTS								Rising-Falling			99	104	113	106	102	103				99	113	113	5.08	ADJ_new_01_spkrTS
Rising-Falling	-un-	-un-	93	-un-	110	106	101	103	-un-	-un-	93	110	110	6.57	ADJ_new_02_spkrTS								Rising-Falling			93		110	106	101	103				93	110	110	6.57	ADJ_new_02_spkrTS
Rising-Falling	92	101	94	-un-	89	-un-	-un-	-un-	-un-	-un-	73	89	89	5.71	P_new_heart_01_spkrTS								Rising-Falling	92	101	94		89							73	89	89	5.71	P_new_heart_01_spkrTS
Rising-Falling	-un-	123	106	-un-	93	-un-	-un-	-un-	-un-	-un-	80	93	96	4.68	S_he_needs_a_new_heart_01_spkrTS								Rising-Falling		123	106		93							80	93	96	4.68	S_he_needs_a_new_heart_01_spkrTS
Rising-Falling	-un-	108	94	87	85	-un-	-un-	-un-	-un-	-un-	76	85	88	2.81	S_he_needs_a_new_heart_02_spkrTS								Rising-Falling		108	94	87	85							76	85	88	2.81	S_he_needs_a_new_heart_02_spkrTS
Rising-Falling	89	79	-un-	88	82	-un-	-un-	-un-	-un-	-un-	76	82	87	3.15	S_he_needs_a_new_heart_03_spkrTS								Rising-Falling	89	79		88	82							76	82	87	3.15	S_he_needs_a_new_heart_03_spkrTS
Rising-Falling	103	81	-un-	-un-	83	-un-	-un-	-un-	-un-	-un-	75	83	87	2.93	S_she_has_a_new_car_01_spkrTS								Rising-Falling	103	81			83							75	83	87	2.93	S_she_has_a_new_car_01_spkrTS
Rising-Falling	96	-un-	88	-un-	83	-un-	-un-	-un-	-un-	-un-	73	83	86	3.46	S_she_has_a_new_car_02_spkrTS								Rising-Falling	96		88		83							73	83	86	3.46	S_she_has_a_new_car_02_spkrTS
Rising-Falling	96	81	82	-un-	82	104	81	-un-	-un-	-un-	76	82	84	2.38	S_this_is_new_01_spkrTS								Rising-Falling	96	81	82		82	104	81					76	82	84	2.38	S_this_is_new_01_spkrTS
Rising-Falling	-un-	-un-	85	-un-	78	-un-	-un-	-un-	94	-un-	73	78	80	1.9	S_this_is_new_02_spkrTS								Rising-Falling			85		78				94			73	78	80	1.9	S_this_is_new_02_spkrTS
Falling-Rising	-un-	90	95	105	91	78	-un-	-un-	-un-	-un-	91	91	105	2.91	S_I_want_it_to_rain_tomorrow_01_spkrTS								Falling-Rising		90	95	105	91	78						91	91	105	2.91	S_I_want_it_to_rain_tomorrow_01_spkrTS
Falling-Rising	91	87	89	97	91	73	-un-	88	-un-	-un-	87	91	96	2.32	S_I_want_it_to_rain_tomorrow_02_spkrTS								Falling-Rising	91	87	89	97	91	73		88				87	91	96	2.32	S_I_want_it_to_rain_tomorrow_02_spkrTS
Falling-Rising	-un-	85	83	89	83	74	-un-	81	-un-	-un-	82	83	91	2.64	S_I_want_it_to_rain_tomorrow_03_spkrTS								Falling-Rising		85	83	89	83	74		81				82	83	91	2.64	S_I_want_it_to_rain_tomorrow_03_spkrTS
Falling-Rising	-un-	-un-	-un-	96	90	88	-un-	-un-	-un-	116	88	90	103	4.56	S_she_has_nine_husbands_01_spkrTS								Falling-Rising				96	90	88				116		88	90	103	4.56	S_she_has_nine_husbands_01_spkrTS
Falling-Rising	-un-	-un-	-un-	-un-	86	86	-un-	-un-	-un-	58	86	86	103	5.54	S_she_has_nine_husbands_02_spkrTS								Falling-Rising					86	86				58		86	86	103	5.54	S_she_has_nine_husbands_02_spkrTS
Falling-Rising	89	-un-	83	-un-	94	-un-	-un-	-un-	-un-	-un-	94	94	124	9.2	S_she_has_nine_husbands_02_spkrTS								Falling-Rising	89		83		94							94	94	124	9.2	S_she_has_nine_husbands_02_spkrTS
Falling-Rising	-un-	79	-un-	76	73	71	83	77	74	-un-	71	73	81	1.97	S_this_is_sacred_02_spkrTS								Falling-Rising		79		76	73	71	83	77	74			71	73	81	1.97	S_this_is_sacred_02_spkrTS
Falling-Rising	-un-	-un-	-un-	75	75	71	100	77	77	80	70	75	87	3.08	S_this_is_sacred_03_spkrTS								Falling-Rising				75	75	71	100	77	77	80		70	75	87	3.08	S_this_is_sacred_03_spkrTS
T	106	88	82	82	81	-un-	-un-	83	-un-	84	80	81	89	3.23	DGTS_1-10_01_spkrTS								T	106	88	82	82	81			83		84		80	81	89	3.23	DGTS_1-10_01_spkrTS
T	88	82	-un-	-un-	81	79	-un-	-un-	-un-	-un-	81	81	86	1.74	DGTS_1-10_01_spkrTS								T	88	82			81	79						81	81	86	1.74	DGTS_1-10_01_spkrTS
T	97	105	-un-	-un-	-un-	80	-un-	93	85	88	-un-	-un-	-un-	-un-	DGTS_415-251-1554_01_spkrTS								T	97	105				80		93	85	88		-un-	-un-	-un-	-un-	DGTS_415-251-1554_01_spkrTS
T	-un-	-un-	-un-	105	100	100	99	98	99	99	99	100	106	2.22	N_heart_02_spkrTS								T				105	100	100	99	98	99	99		99	100	106	2.22	N_heart_02_spkrTS
T	95	88	103	-un-	89	-un-	-un-	-un-	-un-	-un-	88	89	93	1.94	N_nothing_01_spkrTS								T	95	88	103		89							88	89	93	1.94	N_nothing_01_spkrTS
T	-un-	-un-	-un-	-un-	92	-un-	-un-	-un-	101	100	91	92	93	0.9	P_new_heart_01_spkrTS								T					92				101	100		91	92	93	0.9	P_new_heart_01_spkrTS
T	-un-	-un-	91	-un-	99	99	99	94	80	-un-	92	99	103	5.35	P_new_heart_01_spkrTS								T			91		99	99	99	94	80			92	99	103	5.35	P_new_heart_01_spkrTS
T	83	84	84	-un-	97	96	92	90	87	-un-	95	97	98	1.08	S_I_want_it_to_rain_tomorrow_01_spkrTS								T	83	84	84		97	96	92	90	87			95	97	98	1.08	S_I_want_it_to_rain_tomorrow_01_spkrTS
T	85	87	-un-	96	91	89	-un-	102	87	91	88	91	93	1.56	S_I_want_it_to_rain_tomorrow_01_spkrTS								T	85	87		96	91	89		102	87	91		88	91	93	1.56	S_I_want_it_to_rain_tomorrow_01_spkrTS
T	98	92	-un-	75	100	91	79	98	-un-	-un-	100	100	105	1.63	S_I_want_it_to_rain_tomorrow_01_spkrTS								T	98	92		75	100	91	79	98				100	100	105	1.63	S_I_want_it_to_rain_tomorrow_01_spkrTS
T	84	-un-	94	100	90	81	-un-	91	91	100	86	90	92	1.78	S_I_want_it_to_rain_tomorrow_02_spkrTS								T	84		94	100	90	81		91	91	100		86	90	92	1.78	S_I_want_it_to_rain_tomorrow_02_spkrTS
T	-un-	99	-un-	75	96	88	-un-	77	87	88	95	96	100	1.27	S_I_want_it_to_rain_tomorrow_02_spkrTS								T		99		75	96	88		77	87	88		95	96	100	1.27	S_I_want_it_to_rain_tomorrow_02_spkrTS
T	-un-	83	-un-	88	87	84	80	-un-	79	77	86	87	87	0.41	S_I_want_it_to_rain_tomorrow_03_spkrTS								T		83		88	87	84	80		79	77		86	87	87	0.41	S_I_want_it_to_rain_tomorrow_03_spkrTS
T	-un-	98	113	-un-	81	-un-	-un-	-un-	-un-	-un-	81	81	82	0.78	S_Q_who_killed_who_01_spkrTS								T		98	113		81							81	81	82	0.78	S_Q_who_killed_who_01_spkrTS
T	-un-	81	91	83	74	-un-	-un-	-un-	-un-	-un-	74	74	77	1.13	S_Q_who_killed_who_02_spkrTS								T		81	91	83	74							74	74	77	1.13	S_Q_who_killed_who_02_spkrTS
T	94	-un-	98	-un-	80	-un-	-un-	79	-un-	78	79	80	86	2.06	S_Q_will_it_rain_tomorrow_03_spkrTS								T	94		98		80			79		78		79	80	86	2.06	S_Q_will_it_rain_tomorrow_03_spkrTS
T	-un-	104	126	108	106	-un-	81	89	80	-un-	106	106	111	1.54	S_he_needs_a_new_heart_01_spkrTS								T		104	126	108	106		81	89	80			106	106	111	1.54	S_he_needs_a_new_heart_01_spkrTS
T	-un-	104	128	-un-	91	91	-un-	87	83	-un-	90	91	95	1.59	S_he_needs_a_new_heart_02_spkrTS								T		104	128		91	91		87	83			90	91	95	1.59	S_he_needs_a_new_heart_02_spkrTS
T	-un-	-un-	-un-	90	89	89	94	-un-	80	82	85	89	106	4.98	S_he_needs_a_new_heart_03_spkrTS								T				90	89	89	94		80	82		85	89	106	4.98	S_he_needs_a_new_heart_03_spkrTS
T	-un-	89	87	78	90	-un-	-un-	85	-un-	82	79	90	90	3.15	S_he_needs_a_new_heart_03_spkrTS								T		89	87	78	90			85		82		79	90	90	3.15	S_he_needs_a_new_heart_03_spkrTS
T	-un-	-un-	-un-	112	108	98	-un-	-un-	89	85	96	108	112	5.06	S_it_will_rain_tomorrow_01_spkrTS								T				112	108	98			89	85		96	108	112	5.06	S_it_will_rain_tomorrow_01_spkrTS
T	-un-	-un-	-un-	108	110	113	-un-	-un-	87	82	106	110	116	3.37	S_it_will_rain_tomorrow_02_spkrTS								T				108	110	113			87	82		106	110	116	3.37	S_it_will_rain_tomorrow_02_spkrTS
T	-un-	-un-	106	-un-	84	86	-un-	79	83	-un-	83	84	90	1.99	S_it_will_rain_tomorrow_03_spkrTS								T			106		84	86		79	83			83	84	90	1.99	S_it_will_rain_tomorrow_03_spkrTS
T	-un-	104	100	90	83	84	-un-	-un-	84	-un-	81	83	93	2.91	S_she_has_a_new_car_01_spkrTS								T		104	100	90	83	84			84			81	83	93	2.91	S_she_has_a_new_car_01_spkrTS
T	-un-	94	100	-un-	84	89	90	87	-un-	75	77	84	86	3.39	S_she_has_a_new_car_02_spkrTS								T		94	100		84	89	90	87		75		77	84	86	3.39	S_she_has_a_new_car_02_spkrTS
T	-un-	101	-un-	82	87	86	-un-	78	83	83	87	87	87	0.25	S_she_has_a_new_car_02_spkrTS								T		101		82	87	86		78	83	83		87	87	87	0.25	S_she_has_a_new_car_02_spkrTS
T	-un-	83	-un-	86	81	80	-un-	93	-un-	87	78	81	91	3.06	S_this_is_sacred_01_spkrTS								T		83		86	81	80		93		87		78	81	91	3.06	S_this_is_sacred_01_spkrTS
T	83	87	82	94	84	-un-	-un-	-un-	-un-	-un-	82	84	87	1.94	S_this_is_sacred_01_spkrTS								T	83	87	82	94	84							82	84	87	1.94	S_this_is_sacred_01_spkrTS
T	126	-un-	74	72	81	82	-un-	-un-	-un-	-un-	77	81	86	3.29	S_this_is_sacred_02_spkrTS								T	126		74	72	81	82						77	81	86	3.29	S_this_is_sacred_02_spkrTS
T	-un-	-un-	75	77	76	81	-un-	-un-	-un-	-un-	76	76	81	1.97	S_this_is_sacred_03_spkrTS								T			75	77	76	81						76	76	81	1.97	S_this_is_sacred_03_spkrTS
T	-un-	-un-	110	-un-	120	116	-un-	-un-	86	86	115	120	122	2.65	WH_Q_when_01_spkrTS								T			110		120	116			86	86		115	120	122	2.65	WH_Q_when_01_spkrTS
T	-un-	-un-	-un-	-un-	103	-un-	-un-	-un-	-un-	85	103	103	103	-un-	WH_Q_when_03_spkrTS								T					103					85		103	103	103	-un-	WH_Q_when_03_spkrTS
T	-un-	-un-	-un-	-un-	87	-un-	-un-	-un-	-un-	-un-	84	87	91	2.62	WH_Q_when_03_spkrTS								T					87							84	87	91	2.62	WH_Q_when_03_spkrTS
T	-un-	124	-un-	116	120	123	120	-un-	-un-	-un-	113	120	125	2.73	WH_Q_where_03_spkrTS								T		124		116	120	123	120					113	120	125	2.73	WH_Q_where_03_spkrTS
T	-un-	-un-	94	94	92	92	93	92	91	90	92	92	94	1.11	WH_Q_who_02_spkrTS								T			94	94	92	92	93	92	91	90		92	92	94	1.11	WH_Q_who_02_spkrTS
Falling (or)  Low	-un-	111	106	-un-	96	88	-un-	-un-	82	86	86	96	109	8.14	DGTS_1-10_01_spkrTS								Falling (or)  Low		111	106		96	88			82	86		86	96	109	8.14	DGTS_1-10_01_spkrTS
E	98	86	78	-un-	-un-	-un-	-un-	-un-	-un-	-un-	77	-un-	79	1.11	S_I_want_it_to_rain_tomorrow_01_spkrTS								E	98	86	78									77	-un-	79	1.11	S_I_want_it_to_rain_tomorrow_01_spkrTS
E	96	101	101	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_I_want_it_to_rain_tomorrow_01_spkrTS								E	96	101	101									-un-	-un-	-un-	-un-	S_I_want_it_to_rain_tomorrow_01_spkrTS
E	82	98	85	95	102	-un-	90	-un-	77	89	102	102	105	1.6	S_I_want_it_to_rain_tomorrow_02_spkrTS								E	82	98	85	95	102		90		77	89		102	102	105	1.6	S_I_want_it_to_rain_tomorrow_02_spkrTS
E	-un-	111	99	106	-un-	83	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_Q_who_killed_who_01_spkrTS								E		111	99	106		83						-un-	-un-	-un-	-un-	S_Q_who_killed_who_01_spkrTS
E	-un-	-un-	-un-	-un-	-un-	94	91	90	84	79	92	-un-	92	-un-	S_Q_who_killed_who_02_spkrTS								E						94	91	90	84	79		92	-un-	92	-un-	S_Q_who_killed_who_02_spkrTS
E	-un-	-un-	89	79	-un-	91	91	-un-	-un-	98	-un-	-un-	-un-	-un-	S_Q_who_killed_who_02_spkrTS								E			89	79		91	91			98		-un-	-un-	-un-	-un-	S_Q_who_killed_who_02_spkrTS
E	-un-	88	-un-	91	-un-	77	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_Q_who_killed_who_02_spkrTS								E		88		91		77						-un-	-un-	-un-	-un-	S_Q_who_killed_who_02_spkrTS
E	98	104	-un-	81	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_02_spkrTS								E	98	104		81								-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_02_spkrTS
E	-un-	83	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_02_spkrTS								E		83										-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_02_spkrTS
E	95	100	80	-un-	-un-	-un-	78	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_03_spkrTS								E	95	100	80				78					-un-	-un-	-un-	-un-	S_Q_will_it_rain_tomorrow_03_spkrTS
E	-un-	-un-	89	86	-un-	87	81	-un-	-un-	-un-	95	-un-	95	-un-	S_he_needs_a_new_heart_03_spkrTS								E			89	86		87	81					95	-un-	95	-un-	S_he_needs_a_new_heart_03_spkrTS
E	-un-	90	-un-	86	-un-	85	-un-	82	86	-un-	-un-	-un-	-un-	-un-	S_he_needs_a_new_heart_03_spkrTS								E		90		86		85		82	86			-un-	-un-	-un-	-un-	S_he_needs_a_new_heart_03_spkrTS
E	103	95	89	-un-	85	82	82	-un-	-un-	-un-	84	85	90	2.34	S_he_needs_a_new_heart_03_spkrTS								E	103	95	89		85	82	82					84	85	90	2.34	S_he_needs_a_new_heart_03_spkrTS
E	-un-	105	104	101	86	91	81	86	-un-	-un-	85	86	87	1.14	S_she_has_a_new_car_01_spkrTS								E		105	104	101	86	91	81	86				85	86	87	1.14	S_she_has_a_new_car_01_spkrTS
E	-un-	-un-	86	-un-	-un-	58	99	83	-un-	91	58	-un-	58	-un-	S_she_has_nine_husbands_02_spkrTS								E			86			58	99	83		91		58	-un-	58	-un-	S_she_has_nine_husbands_02_spkrTS
E	-un-	-un-	58	82	92	108	97	-un-	-un-	-un-	86	92	124	16.06	S_she_has_nine_husbands_02_spkrTS								E			58	82	92	108	97					86	92	124	16.06	S_she_has_nine_husbands_02_spkrTS
E	80	84	80	84	-un-	82	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_that_man_is_bad_01_spkrTS								E	80	84	80	84		82						-un-	-un-	-un-	-un-	S_that_man_is_bad_01_spkrTS
E	-un-	-un-	89	77	-un-	-un-	84	-un-	-un-	-un-	76	-un-	83	2.67	S_this_is_new_02_spkrTS								E			89	77			84					76	-un-	83	2.67	S_this_is_new_02_spkrTS
E	-un-	88	76	-un-	83	-un-	-un-	76	79	78	81	83	86	1.87	S_this_is_new_02_spkrTS								E		88	76		83			76	79	78		81	83	86	1.87	S_this_is_new_02_spkrTS
E	83	85	-un-	79	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_this_is_new_02_spkrTS								E	83	85		79								-un-	-un-	-un-	-un-	S_this_is_new_02_spkrTS
E	78	81	76	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_this_is_new_02_spkrTS								E	78	81	76									-un-	-un-	-un-	-un-	S_this_is_new_02_spkrTS
E	-un-	-un-	83	81	-un-	-un-	87	-un-	-un-	-un-	-un-	-un-	-un-	-un-	S_this_is_sacred_01_spkrTS								E			83	81			87					-un-	-un-	-un-	-un-	S_this_is_sacred_01_spkrTS
E	-un-	-un-	-un-	-un-	-un-	-un-	-un-	80	74	75	-un-	-un-	-un-	-un-	S_this_is_sacred_03_spkrTS								E								80	74	75		-un-	-un-	-un-	-un-	S_this_is_sacred_03_spkrTS
E	-un-	74	72	77	83	-un-	-un-	-un-	-un-	-un-	79	83	91	3	S_this_is_sacred_03_spkrTS								E		74	72	77	83							79	83	91	3	S_this_is_sacred_03_spkrTS
