 LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	F0min	F0mid	F0max	F0StdDev	Vowel	Sourcefile
Rising	-un-	-un-	116	-un-	84	-un-	-un-	-un-	-un-	-un-	83	84	107	8.38	4	WH_Q_when_01_spkrTS
Falling	-un-	96	93	-un-	59	-un-	-un-	-un-	83	79	51	59	113	23.74	2	WH_Q_when_02_spkrTS
Rising	96	-un-	-un-	-un-	81	-un-	-un-	-un-	-un-	-un-	77	81	96	6.31	4	WH_Q_when_02_spkrTS
T	-un-	-un-	-un-	-un-	103	-un-	-un-	-un-	-un-	85	103	103	103	-un-	2	WH_Q_when_03_spkrTS
T	-un-	-un-	-un-	-un-	87	-un-	-un-	-un-	-un-	-un-	84	87	91	2.62	4	WH_Q_when_03_spkrTS
Rising	-un-	129	103	115	124	128	125	-un-	-un-	-un-	114	124	130	5.72	2	WH_Q_where_01_spkrTS
Rising	-un-	61	-un-	124	134	135	-un-	-un-	-un-	-un-	124	134	136	4.36	2	WH_Q_where_02_spkrTS
T	-un-	124	-un-	116	120	123	120	-un-	-un-	-un-	113	120	125	2.73	2	WH_Q_where_03_spkrTS
Rising	-un-	-un-	-un-	109	106	107	108	107	105	104	104	106	108	1.68	2	WH_Q_who_01_spkrTS
Falling	-un-	106	108	104	99	85	88	-un-	-un-	-un-	90	99	104	4.41	4	WH_Q_who_01_spkrTS
T	-un-	-un-	94	94	92	92	93	92	91	90	92	92	94	1.11	2	WH_Q_who_02_spkrTS
Falling	-un-	92	93	90	85	84	84	-un-	-un-	-un-	83	85	90	2.36	4	WH_Q_who_02_spkrTS
